text,date,week,neg,neu,pos,compound,month,year,sentimen
googl cloud tap amd new servic chip war heat,17/06/2021,24,0.328,0.672,0,-0.5994,6,2021,negatif
googl revers crypto ad ban testament blockchain market matur,10/06/2021,23,0.31,0.69,0,-0.5574,6,2021,negatif
googl build new undersea cabl connect latin america us,09/06/2021,23,0,1,0,0,6,2021,netral
ohio sue googl declar public util,08/06/2021,23,0,1,0,0,6,2021,netral
googl eas ad restrict crypto wallet exchang,03/06/2021,22,0.302,0.698,0,-0.3818,6,2021,negatif
googl backtrack threeyearold crypto ad ban,03/06/2021,22,0.419,0.581,0,-0.5574,6,2021,negatif
coinbas link visa debit card appl pay googl pay,02/06/2021,22,0.286,0.714,0,-0.2023,6,2021,negatif
search giant googl lift ban crypto exchang wallet advertis,02/06/2021,22,0.31,0.69,0,-0.5574,6,2021,negatif
coinbas debut crypto rebat onlin shop via appl pay googl pay,01/06/2021,22,0.237,0.763,0,-0.2023,6,2021,negatif
druckenmil ethereum myspac facebook bitcoin googl,31/05/2021,22,0,1,0,0,5,2021,netral
googl cloud provid blockchain insight polygon,30/05/2021,21,0,1,0,0,5,2021,netral
here tesla googl buy right,20/05/2021,20,0,1,0,0,5,2021,netral
googl win cloud deal spacex starlink internet servic,13/05/2021,19,0,0.648,0.352,0.5859,5,2021,positif
googl search interest dogecoin outstrip bitcoin first time,10/05/2021,19,0,0.7,0.3,0.4588,5,2021,positif
texa feder judg hear argument date googl trial,06/05/2021,18,0.263,0.737,0,-0.3612,5,2021,negatif
appl vs googl faang stock better buy,04/05/2021,18,0,0.674,0.326,0.4404,5,2021,positif
onlin advertis stock buy follow googl blowout earn,03/05/2021,18,0,1,0,0,5,2021,netral
australia seven west media finalis news content deal googl facebook,02/05/2021,17,0,1,0,0,5,2021,netral
block googl class action would deni justic uk court told,29/04/2021,17,0.244,0.756,0,-0.4404,4,2021,negatif
analysi googl plenti cash nowher go,28/04/2021,17,0,1,0,0,4,2021,netral
appl googl app store may need regul chang made australian regul,27/04/2021,17,0,1,0,0,4,2021,netral
pancakeswap googl search surg time uniswap,25/04/2021,16,0,1,0,0,4,2021,netral
gemini user buy bitcoin appl pay googl pay,25/04/2021,16,0.318,0.682,0,-0.2023,4,2021,negatif
gemini user buy bitcoin appl pay googl pay,24/04/2021,16,0.318,0.682,0,-0.2023,4,2021,negatif
israel pick amazon aw googl flagship cloud project,21/04/2021,16,0,0.659,0.341,0.2732,4,2021,positif
daili mail owner sue googl monopoli ad busi,20/04/2021,16,0,1,0,0,4,2021,netral
russian competit watchdog open case googl youtub curb,19/04/2021,16,0,1,0,0,4,2021,netral
kakao mobil secur strateg invest googl,03/04/2021,13,0,1,0,0,4,2021,netral
kakao mobil secur strateg invest googl,31/03/2021,13,0,1,0,0,3,2021,netral
googl map start direct driver ecofriendli rout,31/03/2021,13,0,1,0,0,3,2021,netral
googl uniswap search rise amid upcom v launch,24/03/2021,12,0,1,0,0,3,2021,netral
googl financ add crypto tab featur btc eth ltc bch,01/03/2021,9,0,1,0,0,3,2021,netral
googl financ add dedic crypto tab featur bitcoin ether litecoin,28/02/2021,8,0,1,0,0,2,2021,netral
justic depart give judg big googl document request,24/02/2021,8,0,1,0,0,2,2021,netral
googl add appl tv app latest chromecast devic,18/02/2021,7,0,1,0,0,2,2021,netral
australia seven west media strike deal googl news,16/02/2021,7,0.176,0.824,0,-0.128,2,2021,negatif
franc fine googl million euro hotel rank practic,15/02/2021,7,0,0.795,0.205,0.2023,2,2021,positif
googl shut intern stadia game develop studio,01/02/2021,5,0,1,0,0,2,2021,netral
googl reportedli scrap thousand neg robinhood review,30/01/2021,4,0,1,0,0,1,2021,netral
googl reportedli scrap thousand neg robinhood review,29/01/2021,4,0,1,0,0,1,2021,netral
googl open dublin hub tackl harm onlin content,27/01/2021,4,0.333,0.667,0,-0.5423,1,2021,negatif
googl search ethereum hit alltim high,09/01/2021,1,0,1,0,0,1,2021,netral
texa hire two law firm googl probe team,15/12/2020,51,0,1,0,0,12,2020,netral
cricket coronaviru dalgona coffe india search googl,09/12/2020,50,0,1,0,0,12,2020,netral
googl search bitcoin rise cuba,02/11/2020,45,0,1,0,0,11,2020,netral
googl plan launch vpn servic consum,29/10/2020,44,0,1,0,0,10,2020,netral
judg set first hear us googl antitrust lawsuit,26/10/2020,44,0.213,0.787,0,-0.2263,10,2020,negatif
itali commun watchdog fine googl bet ad,22/10/2020,43,0,0.769,0.231,0.2023,10,2020,positif
googl launch new featur help locat nearest vote locat,16/10/2020,42,0,0.748,0.252,0.4019,10,2020,positif
googl cloud bet eo blockchain ventur crypto,08/10/2020,41,0,1,0,0,10,2020,netral
googl cloud join eo blockhain commun,06/10/2020,41,0,0.694,0.306,0.296,10,2020,positif
googl renam busi softwar packag workspac,06/10/2020,41,0,1,0,0,10,2020,netral
norway plan covid track base googl appl technolog,28/09/2020,40,0,1,0,0,9,2020,netral
googl say denmark review tax,31/08/2020,36,0,1,0,0,8,2020,netral
googl goe public rebuk australia antitrust law,17/08/2020,34,0,1,0,0,8,2020,netral
googl support oecd engag digit tax ceo pichai say,13/07/2020,29,0,0.748,0.252,0.4019,7,2020,positif
googl restrict advertis unauthor track technolog,10/07/2020,28,0.342,0.658,0,-0.3818,7,2020,negatif
deutsch bank googl agre multiyear strateg partnership,07/07/2020,28,0,1,0,0,7,2020,netral
googl remov mislead ad votingrel search,29/06/2020,27,0,1,0,0,6,2020,netral
googl extend factcheck imag search,22/06/2020,26,0,0.702,0.298,0.1779,6,2020,positif
googl take indian app remov chines one spokesman,03/06/2020,23,0,1,0,0,6,2020,netral
googl consid take stake vodafon idea ft,28/05/2020,22,0,1,0,0,5,2020,netral
theta confirm googl partnership amid mainnet rollout,27/05/2020,22,0,1,0,0,5,2020,netral
googl cloud secur us defens depart contract,20/05/2020,21,0,1,0,0,5,2020,netral
cut us slack german travel startup tell googl,30/04/2020,18,0.231,0.769,0,-0.2732,4,2020,negatif
googl parent alphabet quarterli revenu beat estim,28/04/2020,18,0,1,0,0,4,2020,netral
applegoogl allianc welcom european coronaviru app platform,15/04/2020,16,0,1,0,0,4,2020,netral
googl launch coronaviru websit unit state,22/03/2020,12,0,1,0,0,3,2020,netral
googl explor use locat info slow coronaviru spread,20/03/2020,12,0,1,0,0,3,2020,netral
googl critic see firebas tool anoth squeez play,19/03/2020,12,0.2,0.571,0.229,0.0772,3,2020,positif
brave browser deliv promis file gdpr complaint googl,16/03/2020,12,0.19,0.517,0.293,0.296,3,2020,positif
googl recommend north america employe work home,10/03/2020,11,0,0.706,0.294,0.3612,3,2020,positif
ledger wallet warn fake googl chrome extens steal crypto,06/03/2020,10,0.562,0.438,0,-0.7717,3,2020,negatif
eu privaci bodi warn risk googl fitbit deal,20/02/2020,8,0.368,0.632,0,-0.3612,2,2020,negatif
googl join hedera hashgraph govern council,11/02/2020,7,0,0.694,0.306,0.296,2,2020,positif
justic depart delrahim recus googl antitrust review,04/02/2020,6,0,1,0,0,2,2020,netral
